id,id_fantom,gene,n1,n2,n3,n4,descrizione1,descrizione2
53,T000102,p1@SNORA12,677800,32600,,SNORA12,"small nucleolar RNA, H/ACA box 12","RNA, small nucleolar"
3804,T009375,p2@SNORD97,692223,32760,,SNORD97,"small nucleolar RNA, C/D box 97","RNA, small nucleolar"
3805,T009376,p4@SNORD97,692223,32760,,SNORD97,"small nucleolar RNA, C/D box 97","RNA, small nucleolar"
3806,T009377,p1@SNORD97,692223,32760,,SNORD97,"small nucleolar RNA, C/D box 97","RNA, small nucleolar"
3807,T009378,p3@SNORD97,692223,32760,,SNORD97,"small nucleolar RNA, C/D box 97","RNA, small nucleolar"
4591,T011013,p1@SNORD14D,,30353,,SNORD14D,"small nucleolar RNA, C/D box 14D","RNA, small nucleolar"
4592,T011014,p1@SNORD14C,,30352,,SNORD14C,"small nucleolar RNA, C/D box 14C","RNA, small nucleolar"
5095,T012232,p1@SNORD14A,,10113,,SNORD14A,"small nucleolar RNA, C/D box 14A","RNA, small nucleolar"
6998,T015979,p1@SNORA57,692158,32651,,SNORA57,"small nucleolar RNA, H/ACA box 57","RNA, small nucleolar"
7078,T016083,p1@SNORD22,9304,10145,,SNORD22,"small nucleolar RNA, C/D box 22","RNA, small nucleolar"
7079,T016084,p1@SNORD29,9297,10151,,SNORD29,"small nucleolar RNA, C/D box 29","RNA, small nucleolar"
7080,T016085,p1@SNORD28,9300,10150,,SNORD28,"small nucleolar RNA, C/D box 28","RNA, small nucleolar"
7081,T016086,p1@SNORD26,9302,10148,,SNORD26,"small nucleolar RNA, C/D box 26","RNA, small nucleolar"
7082,T016087,p2@SNHG1,23642,32688,,SNHG1,small nucleolar RNA host gene 1,"RNA, long non-coding"
7083,T016088,p10@SNHG1,,32688,,SNHG1,small nucleolar RNA host gene 1,"RNA, long non-coding"
7084,T016089,p3@SNHG1,,32688,,SNHG1,small nucleolar RNA host gene 1,"RNA, long non-coding"
7085,T016090,p1@SNHG1,23642,32688,,SNHG1,small nucleolar RNA host gene 1,"RNA, long non-coding"
8413,T018500,p2@SNORD15B,114599,16649,,SNORD15B,"small nucleolar RNA, C/D box 15B","RNA, small nucleolar"
8414,T018501,p3@SNORD15B,114599,16649,,SNORD15B,"small nucleolar RNA, C/D box 15B","RNA, small nucleolar"
8415,T018502,p1@SNORD15B,114599,16649,,SNORD15B,"small nucleolar RNA, C/D box 15B","RNA, small nucleolar"
8618,T018938,p2@SNORA52,619565,32645,,SNORA52,"small nucleolar RNA, H/ACA box 52","RNA, small nucleolar"
8846,T019353,p1@SNORA3,619562,32586,,SNORA3A,"small nucleolar RNA, H/ACA box 3A","RNA, small nucleolar"
8954,T019614,p1@SNORA32,692063,32622,,SNORA32,"small nucleolar RNA, H/ACA box 32","RNA, small nucleolar"
8955,T019615,p1@SNORA1,677792,32557,,SNORA1,"small nucleolar RNA, H/ACA box 1","RNA, small nucleolar"
8956,T019616,p1@SNORA8,654320,32596,,SNORA8,"small nucleolar RNA, H/ACA box 8","RNA, small nucleolar"
8957,T019617,p1@SNORD5,692072,32702,,SNORD5,"small nucleolar RNA, C/D box 5","RNA, small nucleolar"
8958,T019618,"p19@TAF1D,p1@SNORA40","79101,677822","32633,28759",,SNORA40,"small nucleolar RNA, H/ACA box 40","RNA, small nucleolar"
9007,T019697,p1@SNORA23,677808,32613,,SNORA23,"small nucleolar RNA, H/ACA box 23","RNA, small nucleolar"
10523,T023112,p1@SNORA49,677829,32642,,SNORA49,"small nucleolar RNA, H/ACA box 49","RNA, small nucleolar"
12574,T027196,p1@SNORD59A,26789,10210,,SNORD59A,"small nucleolar RNA, C/D box 59A","RNA, small nucleolar"
14141,T030833,p1@SNORA53,677832,32646,,SNORA53,"small nucleolar RNA, H/ACA box 53","RNA, small nucleolar"
14698,T032213,p1@SNORD102,26771,10099,,SNORD102,"small nucleolar RNA, C/D box 102","RNA, small nucleolar"
16032,T035295,p1@SNORD113-3,,32982,,SNORD113-3,"small nucleolar RNA, C/D box 113-3","RNA, small nucleolar"
16033,T035297,p1@SNORD113-4,767564,32983,,SNORD113-4,"small nucleolar RNA, C/D box 113-4","RNA, small nucleolar"
16034,T035298,p2@SNORD114-1,767577,32989,,SNORD114-1,"small nucleolar RNA, C/D box 114-1","RNA, small nucleolar"
16035,T035299,p1@SNORD114-1,767577,32989,,SNORD114-1,"small nucleolar RNA, C/D box 114-1","RNA, small nucleolar"
16036,T035300,p1@SNORD114-13,767591,33001,,SNORD114-13,"small nucleolar RNA, C/D box 114-13","RNA, small nucleolar"
16037,T035301,p1@SNORD114-14,767592,33002,,SNORD114-14,"small nucleolar RNA, C/D box 114-14","RNA, small nucleolar"
16038,T035302,p1@SNORD114-19,767597,33007,,SNORD114-19,"small nucleolar RNA, C/D box 114-19","RNA, small nucleolar"
16039,T035303,p1@SNORD114-20,767598,33008,,SNORD114-20,"small nucleolar RNA, C/D box 114-20","RNA, small nucleolar"
16040,T035305,p1@SNORD114-21,767599,33009,,SNORD114-21,"small nucleolar RNA, C/D box 114-21","RNA, small nucleolar"
16559,T036498,p1@SNORD8,319103,20159,,SNORD8,"small nucleolar RNA, C/D box 8","RNA, small nucleolar"
18979,T041886,p6@SNHG10,,27510,,SNHG10,small nucleolar RNA host gene 10,"RNA, long non-coding"
18980,T041887,p9@SNHG10,,27510,,SNHG10,small nucleolar RNA host gene 10,"RNA, long non-coding"
18981,T041888,p8@SNHG10,,27510,,SNHG10,small nucleolar RNA host gene 10,"RNA, long non-coding"
18982,T041889,p7@SNHG10,,27510,,SNHG10,small nucleolar RNA host gene 10,"RNA, long non-coding"
18983,T041890,p2@SNHG10,,27510,,SNHG10,small nucleolar RNA host gene 10,"RNA, long non-coding"
18984,T041891,p3@SNHG10,,27510,,SNHG10,small nucleolar RNA host gene 10,"RNA, long non-coding"
18985,T041892,p1@SNHG10,,27510,,SNHG10,small nucleolar RNA host gene 10,"RNA, long non-coding"
18987,T041894,p4@SNHG10,,27510,,SNHG10,small nucleolar RNA host gene 10,"RNA, long non-coding"
19137,T042333,"p1@SNHG14,p1@SNORD107","91380,347746","32771,37462",,SNORD107,"small nucleolar RNA, C/D box 107","RNA, small nucleolar"
19138,T042338,p1@SNORD64,347686,32725,,SNORD64,"small nucleolar RNA, C/D box 64","RNA, small nucleolar"
19139,T042342,p1@SNORD108,338427,32772,,SNORD108,"small nucleolar RNA, C/D box 108","RNA, small nucleolar"
19141,T042366,p1@SNORD116-13,100033425,33079,,SNORD116-13,"small nucleolar RNA, C/D box 116-13","RNA, small nucleolar"
19142,T042376,p1@SNORD115-23,100033800,33042,,SNORD115-23,"small nucleolar RNA, C/D box 115-23","RNA, small nucleolar"
19143,T042377,p1@SNORD115-32,100033806,33051,,SNORD115-32,"small nucleolar RNA, C/D box 115-32","RNA, small nucleolar"
20524,T045701,p2@SNORD16,595097,32712,,SNORD16,"small nucleolar RNA, C/D box 16","RNA, small nucleolar"
