id,gene,n1,n2,n3,n4,descrizione1,descrizione2
T063531,p5@SNORD1C,677850,32677,F2Z347,SNORD1C,"small nucleolar RNA, C/D box 1C","RNA, small nucleolar"
T063532,p3@SNORD1C,677850,32677,F2Z347,SNORD1C,"small nucleolar RNA, C/D box 1C","RNA, small nucleolar"
T063533,p2@SNORD1C,677850,32677,F2Z347,SNORD1C,"small nucleolar RNA, C/D box 1C","RNA, small nucleolar"
T063534,p4@SNORD1C,677850,32677,,SNORD1C,"small nucleolar RNA, C/D box 1C","RNA, small nucleolar"
T063535,p1@SNORD1B,677849,32676,,SNORD1B,"small nucleolar RNA, C/D box 1B","RNA, small nucleolar"
T063640,p1@SNORA48,652965,32641,,SNORA48,"small nucleolar RNA, H/ACA box 48","RNA, small nucleolar"
T063641,p1@SNORD10,652966,32706,,SNORD10,"small nucleolar RNA, C/D box 10","RNA, small nucleolar"
T063682,p2@LINC00338,,33099,,SNHG20,small nucleolar RNA host gene 20,"RNA, long non-coding"
T067544,p1@SNORD58C,,33613,,SNORD58C,"small nucleolar RNA, C/D box 58C","RNA, small nucleolar"
T067545,p1@SNORD58A,26791,10208,,SNORD58A,"small nucleolar RNA, C/D box 58A","RNA, small nucleolar"
T067546,"p1@SNORD58B,p4@RPL17","26790,6139","10209,10307",,SNORD58B,"small nucleolar RNA, C/D box 58B","RNA, small nucleolar"
T069395,p1@SNORD105,692229,32769,,SNORD105,"small nucleolar RNA, C/D box 105","RNA, small nucleolar"
T069397,p1@SNORD105B,,33572,,SNORD105B,"small nucleolar RNA, C/D box 105B","RNA, small nucleolar"
T070092,p1@SNORD41,26810,10179,,SNORD41,"small nucleolar RNA, C/D box 41","RNA, small nucleolar"
T074008,p4@SNORD37,26812,10166,,SNORD37,"small nucleolar RNA, C/D box 37","RNA, small nucleolar"
T074009,p1@SNORD37,26812,10166,,SNORD37,"small nucleolar RNA, C/D box 37","RNA, small nucleolar"
T074012,p2@SNORD37,26812,10166,,SNORD37,"small nucleolar RNA, C/D box 37","RNA, small nucleolar"
T074013,p5@SNORD37,26812,10166,,SNORD37,"small nucleolar RNA, C/D box 37","RNA, small nucleolar"
T076770,p1@SNORD32A,26819,10159,,SNORD32A,"small nucleolar RNA, C/D box 32A","RNA, small nucleolar"
T076771,p1@SNORD33,26818,10160,,SNORD33,"small nucleolar RNA, C/D box 33","RNA, small nucleolar"
T076773,p1@SNORD34,26817,10161,,SNORD34,"small nucleolar RNA, C/D box 34","RNA, small nucleolar"
T076774,p1@SNORD35A,26816,10162,,SNORD35A,"small nucleolar RNA, C/D box 35A","RNA, small nucleolar"
T076778,p2@SNORD35B,84546,17365,,SNORD35B,"small nucleolar RNA, C/D box 35B","RNA, small nucleolar"
T076780,p1@SNORD35B,84546,17365,,SNORD35B,"small nucleolar RNA, C/D box 35B","RNA, small nucleolar"
T076781,p3@SNORD35B,84546,17365,,SNORD35B,"small nucleolar RNA, C/D box 35B","RNA, small nucleolar"
T083417,p1@SNORA42,,32635,,SNORA80E,"small nucleolar RNA, H/ACA box 80E","RNA, small nucleolar"
T085817,p1@SNORD81,26769,10101,,SNORD81,"small nucleolar RNA, C/D box 81","RNA, small nucleolar"
T085818,p1@SNORD47,26802,10187,,SNORD47,"small nucleolar RNA, C/D box 47","RNA, small nucleolar"
T085819,"p1@SNORD80,p3@GAS5",26774,"10096,16355",,SNORD80,"small nucleolar RNA, C/D box 80","RNA, small nucleolar"
T085821,p1@SNORD44,26806,10183,,SNORD44,"small nucleolar RNA, C/D box 44","RNA, small nucleolar"
T085822,p1@SNORD76,692196,32736,,SNORD76,"small nucleolar RNA, C/D box 76","RNA, small nucleolar"
T085823,p1@SNORD74,619498,32734,,SNORD74,"small nucleolar RNA, C/D box 74","RNA, small nucleolar"
T091265,p2@SNORA14B,677802,32603,,SNORA14B,"small nucleolar RNA, H/ACA box 14B","RNA, small nucleolar"
T091266,p1@SNORA14B,677802,32603,,SNORA14B,"small nucleolar RNA, H/ACA box 14B","RNA, small nucleolar"
T093121,p2@SNHG3,,10118,,SNHG3,small nucleolar RNA host gene 3,"RNA, long non-coding"
T093122,p4@SNHG3,,10118,,SNHG3,small nucleolar RNA host gene 3,"RNA, long non-coding"
T093123,p3@SNHG3,,10118,,SNHG3,small nucleolar RNA host gene 3,"RNA, long non-coding"
T093124,p5@SNHG3,,10118,,SNHG3,small nucleolar RNA host gene 3,"RNA, long non-coding"
T093125,p1@SNORA73A,,10115,,SNORA73A,"small nucleolar RNA, H/ACA box 73A","RNA, small nucleolar"
T093126,p2@SNORA73A,,10115,,SNORA73A,"small nucleolar RNA, H/ACA box 73A","RNA, small nucleolar"
T093128,p1@SNORA73B,,10116,,SNORA73B,"small nucleolar RNA, H/ACA box 73B","RNA, small nucleolar"
T093139,p1@SNORD99,692212,32762,,SNORD99,"small nucleolar RNA, C/D box 99","RNA, small nucleolar"
T093140,p3@SNORA61,677838,32655,,SNORA61,"small nucleolar RNA, H/ACA box 61","RNA, small nucleolar"
T093141,p1@SNORA44,677825,32637,,SNORA44,"small nucleolar RNA, H/ACA box 44","RNA, small nucleolar"
T093142,p1@SNORA16A,692073,32605,,SNORA16A,"small nucleolar RNA, H/ACA box 16A","RNA, small nucleolar"
T093143,p1@SNHG12,85028,30062,,SNHG12,small nucleolar RNA host gene 12,"RNA, long non-coding"
T094802,p1@SNORD55,26811,10205,,SNORD55,"small nucleolar RNA, C/D box 55","RNA, small nucleolar"
T094804,p2@SNORD38A,94162,30355,,SNORD38A,"small nucleolar RNA, C/D box 38A","RNA, small nucleolar"
T096718,p1@SNORD45A,26805,10184,,SNORD45A,"small nucleolar RNA, C/D box 45A","RNA, small nucleolar"
T098696,p1@SNORD17,692086,32713,,SNORD17,"small nucleolar RNA, C/D box 17","RNA, small nucleolar"
T099262,p1@SNORD119,,33558,,SNORD119,"small nucleolar RNA, C/D box 119","RNA, small nucleolar"
T099401,p1@SNORD110,692213,32775,,SNORD110,"small nucleolar RNA, C/D box 110","RNA, small nucleolar"
T099402,p1@SNORD86,692201,32745,,SNORD86,"small nucleolar RNA, C/D box 86","RNA, small nucleolar"
T099403,p1@SNORD56,26793,10206,,SNORD56,"small nucleolar RNA, C/D box 56","RNA, small nucleolar"
T099404,p1@SNORD57,26792,10207,,SNORD57,"small nucleolar RNA, C/D box 57","RNA, small nucleolar"
T099405,p2@SNORD57,26792,10207,,SNORD57,"small nucleolar RNA, C/D box 57","RNA, small nucleolar"
T100612,p1@SNORA71C,677839,32656,,SNORA71C,"small nucleolar RNA, H/ACA box 71C","RNA, small nucleolar"
T100615,p1@SNHG11,128439,25046,,SNHG11,small nucleolar RNA host gene 11,"RNA, long non-coding"
T100616,p3@SNHG11,,25046,,SNHG11,small nucleolar RNA host gene 11,"RNA, long non-coding"
T100617,p4@SNHG11,,25046,,SNHG11,small nucleolar RNA host gene 11,"RNA, long non-coding"
T101858,p1@SNORD12B,,33573,,SNORD12B,"small nucleolar RNA, C/D box 12B","RNA, small nucleolar"
T101859,p1@SNORD12,692057,32708,,SNORD12,"small nucleolar RNA, C/D box 12","RNA, small nucleolar"
T101860,p2@SNORD12,692057,32708,,SNORD12,"small nucleolar RNA, C/D box 12","RNA, small nucleolar"
T110356,p1@SNORD89,692205,32750,,SNORD89,"small nucleolar RNA, C/D box 89","RNA, small nucleolar"
T120054,p3@SNORA75,654321,32661,,SNORA75,"small nucleolar RNA, H/ACA box 75","RNA, small nucleolar"
T120055,p2@SNORA75,654321,32661,,SNORA75,"small nucleolar RNA, H/ACA box 75","RNA, small nucleolar"
T120056,p2@SNORD20,6082,10143,,SNORD20,"small nucleolar RNA, C/D box 20","RNA, small nucleolar"
T120060,p1@SNORD82,25826,10240,,SNORD82,"small nucleolar RNA, C/D box 82","RNA, small nucleolar"
T120061,p2@SNORD82,25826,10240,,SNORD82,"small nucleolar RNA, C/D box 82","RNA, small nucleolar"
T121918,p1@SNORD53,26796,10203,,SNORD53,"small nucleolar RNA, C/D box 53","RNA, small nucleolar"
T125875,p1@SNORD94,692225,32756,,SNORD94,"small nucleolar RNA, C/D box 94","RNA, small nucleolar"
T132667,"p1@MIR1248,p1@SNORA81","677847,100302143","32667,35314",,SNORA81,"small nucleolar RNA, H/ACA box 81","RNA, small nucleolar"
T132668,p1@SNORA63,6043,10106,,SNORA63,"small nucleolar RNA, H/ACA box 63","RNA, small nucleolar"
T132669,p2@SNORA63,6043,10106,,SNORA63,"small nucleolar RNA, H/ACA box 63","RNA, small nucleolar"
T136262,p1@SNORD69,692109,32730,,SNORD69,"small nucleolar RNA, C/D box 69","RNA, small nucleolar"
T139228,p2@SNHG8,100093630,33098,,SNHG8,small nucleolar RNA host gene 8,"RNA, long non-coding"
T139229,p1@SNHG8,100093630,33098,,SNHG8,small nucleolar RNA host gene 8,"RNA, long non-coding"
T139230,p2@SNORA24,677809,32614,,SNORA24,"small nucleolar RNA, H/ACA box 24","RNA, small nucleolar"
